source_id,category,title,company,location,source_site,source_link,checked_at,page_accessible,notes
JOB-001,前端开发,Software Engineer Intern - Summer 2026,Pendo,"Raleigh, NC",Greenhouse,https://boards.greenhouse.io/embed/job_app?token=8185867002,2026-07-24,true,"岗位页面包含 Front End、Back End 和 Operations Engineering 方向；本记录取 Front End 能力"
JOB-002,前端开发,Software Engineer Intern,Taktile,"Iasi; Berlin",Ashby,https://jobs.ashbyhq.com/taktile/bce11078-1da2-4826-a70e-7eccfd702dd1,2026-07-24,true,"页面说明可在 Python/FastAPI 后端或 React/TypeScript 前端方向工作"
JOB-003,前端开发,Software Engineer Intern (Summer 2026),Superhuman,"Remote - Ukraine",Ashby,https://jobs.ashbyhq.com/Superhuman%20Platform%20Inc/ef135dc3-ab5a-4183-a8a7-ec821fdf8220,2026-07-24,true,"工程实习覆盖前端、后端、全栈和移动端"
JOB-004,前端开发,Software Engineer Intern 2026,Creatify,"Mountain View",Ashby,https://jobs.ashbyhq.com/creatify/75a1f1ad-13d2-4513-952c-71b6dfcaa84f/,2026-07-24,true,"全栈岗位，明确要求 React、Python 和 Web 后端能力"
JOB-005,后端开发,Software Engineer Intern - Backend,Serval,页面未标注,Ashby,https://jobs.ashbyhq.com/Serval/d7fb089c-db8a-4877-a5f3-73a09e67f54b,2026-07-24,true,"页面明确为 Backend 方向，涉及 AI 自动化平台"
JOB-006,后端开发,Software Engineer Intern,Hadrian Automation,"Los Angeles, CA",Ashby,https://jobs.ashbyhq.com/hadrian-automation/ce93d8e7-00c9-4fdf-9623-e4f6f25d92d6,2026-07-24,true,"职责包含后端服务、API、数据管道和内部工具"
JOB-007,后端开发,Software Engineer Intern (Backend, Rust),N1,"New York City",Ashby,https://jobs.ashbyhq.com/n1/afe7deb5-9cfd-4926-bcb4-058d418592a6,2026-07-24,true,"聚焦 Rust 后端、网络、可靠性和可扩展性"
JOB-008,后端开发,Software Engineer Intern (Fall / Winter 2026),Cohere,"Canada; United States",Ashby,https://jobs.ashbyhq.com/cohere/8c035d3d-081d-4c8a-914a-72f4efaad254?embed=js,2026-07-24,true,"多个工程方向，本记录抽取后端、数据管道和 API 能力"
JOB-009,产品经理,Product Manager Internship - Summer 2026,Injective,"New York",Ashby,https://jobs.ashbyhq.com/Injective/b455db86-584f-4186-b69c-7a6cc6704d0e/,2026-07-24,true,"职责包含市场分析、竞品跟踪、产品测试和报告"
JOB-010,产品经理,Product Manager Intern - Checkout,Back Market,"Barcelona",Ashby,https://jobs.ashbyhq.com/backmarket/73fc72a2-a7a1-4fda-b184-49b3ed7f3972?departmentId=9e78a6f9-fcc4-4e05-ac53-df7fdef19445&employmentType=Intern,2026-07-24,true,"职责包含结账流程、A/B 测试、跨团队协作和用户体验"
JOB-011,产品经理,Product Management Intern,Matterworks,"Remote; Somerville, MA",Ashby,https://jobs.ashbyhq.com/matterworks/014652db-c9fc-4424-bea3-ae5ff35d540c,2026-07-24,true,"AI 原生产品岗位，覆盖用户研究、产品分析、规格和发布"
JOB-012,产品经理,"Product Manager, Intern",Tessera Labs,"San Jose; New York; Remote US",Ashby,https://jobs.ashbyhq.com/tessera-labs/3b2d45b8-9881-41fe-b103-7bbc400e1544,2026-07-24,true,"企业 AI 产品，覆盖用户研究、需求、分析和发布"
JOB-013,运营,Operations Intern - Cross-border SOP Documentation,Cheiron,"Seoul",Ashby,https://jobs.ashbyhq.com/Cheiron/73b81a05-4ada-48fd-9caa-4cbef7c14e69,2026-07-24,true,"职责重点是访谈、流程梳理和跨境 SOP 文档"
JOB-014,运营,Operations Intern,Condukt,"London; Porto",Ashby,https://jobs.ashbyhq.com/condukt/22dc6f97-1a3f-4b54-87e6-4a0457682ceb?embed=js,2026-07-24,true,"涉及招聘协调、ATS、业务运营、办公室和内部项目"
JOB-015,运营,Strategy & Operations Intern - Ops Focus,finmid,"Berlin",Ashby,https://jobs.ashbyhq.com/finmid.com/a00eb04e-b3f5-45e4-8792-b75901ac969c,2026-07-24,true,"涉及客户运营、市场研究、数据分析和流程优化"
JOB-016,运营,Office & People Operations Intern,Propel,"Brooklyn, NYC",Ashby,https://jobs.ashbyhq.com/propel/09a0086b-aabd-4c7d-a234-d0cda53941db/,2026-07-24,true,"涉及合同、入离职、办公支持和 IT 协调"
JOB-017,数字媒体/内容,Content Intern,Revel Robotics,"Prague",Ashby,https://jobs.ashbyhq.com/revelrobotics/b390d41b-b8ff-4fc6-a04a-b82105922d1b,2026-07-24,true,"职责包含拍摄、剪辑、素材整理和内容制作支持"
JOB-018,数字媒体/内容,Content Creator Intern,Sarj.ai,"Riyadh",Ashby,https://jobs.ashbyhq.com/sarjai/43606a38-4fa3-42ff-8594-db32cf280bb7,2026-07-24,true,"AI 公司内容岗位，涉及视频、社交媒体、文案和内容分析"
JOB-019,数字媒体/内容,Social Media & Video Content Intern,Valency Systems,"Berkeley, CA",Ashby,https://jobs.ashbyhq.com/valency/e9861e9b-585e-4c53-85dd-92d067748ad1,2026-07-24,true,"职责包含短视频演示、内容日历、社媒和数据分析"
JOB-020,数字媒体/内容,SEO and GEO Content Intern,Back Market,"Paris",Ashby,https://jobs.ashbyhq.com/backmarket/07efbbd2-9cca-4f00-a9fc-2fa7c9d71a75,2026-07-24,true,"涉及 SEO、GEO、CMS、内容分析和 AI 内容工作流"
JOB-021,算法/机器学习,AI Research Intern - Summer 2026,Handshake,"San Francisco, CA",Ashby,https://jobs.ashbyhq.com/handshake/f01f09ac-4b94-4de0-bbef-e1892df4e0cb,2026-07-24,true,"涉及 LLM 后训练、评测、数据效率和研究项目"
JOB-022,算法/机器学习,Machine Learning Intern/Co-op - Fall 2026,Cohere,"Canada; Europe; UK; US",Ashby,https://jobs.ashbyhq.com/cohere/36d1f52f-8270-4652-adf5-5303a0ff341b?employmentType=Intern,2026-07-24,true,"涉及模型训练、分布式训练、Transformer 和 NLP"
JOB-023,算法/机器学习,Machine Learning Intern,insitro,"South San Francisco, CA",Ashby,https://jobs.ashbyhq.com/insitro/785db2de-c425-401c-869c-fff3e14fcdea,2026-07-24,true,"涉及机器学习方法、复杂数据集、指标和原型"
JOB-024,算法/机器学习,Machine Learning Intern,Droyd,"San Francisco, CA",Ashby,https://jobs.ashbyhq.com/droyd/fd533fd8-65a7-41eb-bdf0-e75f02e739e9/,2026-07-24,true,"机器人学习系统，涉及训练、评估、推理和部署测试"
